0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
80, 18-04-2020 14:27:58,44,56,66.965,135,405,59,14.453,3090.456,3295,95.1,0,,,2020-04-18T14:27:58.692270400+03:00 polygons 1092 objects 91
80, 18-04-2020 14:27:59,44,55,66.965,135,405,63,13.672,3190.148,3291,94.9,0,,,2020-04-18T14:27:59.692034200+03:00 polygons 1104 objects 92
80, 18-04-2020 14:28:00,44,53,66.965,135,405,63,15.234,3289.841,3288,92.2,0,,,2020-04-18T14:28:00.691782900+03:00 polygons 1116 objects 93
80, 18-04-2020 14:28:01,44,54,66.965,135,405,63,14.453,3289.841,3288,93.2,0,,,2020-04-18T14:28:01.707189900+03:00 polygons 1128 objects 94
80, 18-04-2020 14:28:02,44,47,66.965,135,405,55,15.82,3090.457,3287,90.8,0,,,2020-04-18T14:28:02.706955700+03:00 polygons 1140 objects 95
80, 18-04-2020 14:28:03,44,52,66.965,135,405,58,14.648,3190.149,3287,91.9,0,,,2020-04-18T14:28:03.706730900+03:00 polygons 1152 objects 96
80, 18-04-2020 14:28:04,44,52,66.965,135,405,64,16.016,3289.841,3289,90.7,0,,,2020-04-18T14:28:04.722130700+03:00 polygons 1164 objects 97
80, 18-04-2020 14:28:05,44,53,66.965,135,405,65,15.234,3190.087,3289,90,0,,,2020-04-18T14:28:05.721888+03:00 polygons 1176 objects 98
80, 18-04-2020 14:28:06,44,53,66.965,135,405,64,14.844,3289.778,3289,89.4,0,,,2020-04-18T14:28:06.721653200+03:00 polygons 1188 objects 99
80, 18-04-2020 14:28:07,44,54,66.965,135,405,65,14.453,3190.18,3289,88.8,0,,,2020-04-18T14:28:07.721412200+03:00 polygons 1200 objects 100
80, 18-04-2020 14:28:08,44,51,66.965,135,405,63,15.234,3190.18,3287,87.7,0,,,2020-04-18T14:28:08.736808600+03:00 polygons 1212 objects 101
80, 18-04-2020 14:28:09,44,52,66.965,135,405,64,14.844,3289.841,3288,87.4,0,,,2020-04-18T14:28:09.736549400+03:00 polygons 1224 objects 102
80, 18-04-2020 14:28:10,44,53,66.965,135,405,64,14.063,3090.456,3288,84.3,0,,,2020-04-18T14:28:10.751964500+03:00 polygons 1236 objects 103
80, 18-04-2020 14:28:11,44,51,66.965,135,405,64,15.052,3289.84,3288,85.3,0,,,2020-04-18T14:28:11.751730600+03:00 polygons 1248 objects 104
80, 18-04-2020 14:28:12,44,52,66.965,135,405,64,14.648,3289.841,3288,85,0,,,2020-04-18T14:28:12.751499900+03:00 polygons 1260 objects 105
80, 18-04-2020 14:28:13,44,52,66.965,135,405,64,15.82,3190.149,3288,84.7,0,,,2020-04-18T14:28:13.766889+03:00 polygons 1272 objects 106
80, 18-04-2020 14:28:14,44,52,66.965,135,405,64,14.844,3289.84,3288,82.2,0,,,2020-04-18T14:28:14.766645600+03:00 polygons 1284 objects 107
80, 18-04-2020 14:28:15,44,51,66.965,135,405,64,15.625,3190.148,3286,83.4,0,,,2020-04-18T14:28:15.782034+03:00 polygons 1296 objects 108
80, 18-04-2020 14:28:16,44,51,66.965,135,405,63,14.063,3190.149,3286,82.5,0,,,2020-04-18T14:28:16.781809600+03:00 polygons 1308 objects 109
80, 18-04-2020 14:28:17,44,48,66.965,135,405,63,14.648,3289.841,3286,78.7,0,,,2020-04-18T14:28:17.797197100+03:00 polygons 1320 objects 110
80, 18-04-2020 14:28:18,44,51,66.965,135,405,64,13.867,3190.149,3286,80.4,0,,,2020-04-18T14:28:18.796971200+03:00 polygons 1332 objects 111
80, 18-04-2020 14:28:19,44,51,66.965,135,405,64,13.672,3190.149,3286,80.5,0,,,2020-04-18T14:28:19.796734300+03:00 polygons 1344 objects 112
80, 18-04-2020 14:28:20,44,50,66.965,135,405,64,14.258,3190.148,3286,77.8,0,,,2020-04-18T14:28:20.808606700+03:00 polygons 1356 objects 113
80, 18-04-2020 14:28:21,44,50,66.965,135,405,64,14.648,3190.148,3286,79.2,0,,,2020-04-18T14:28:21.808344400+03:00 polygons 1368 objects 114
80, 18-04-2020 14:28:22,44,45,66.965,135,405,66,23.438,3190.149,3286,75.6,0,,,2020-04-18T14:28:22.823755800+03:00 polygons 1380 objects 115
80, 18-04-2020 14:28:23,44,49,66.965,135,405,63,22.266,3090.457,3282,74.2,0,,,2020-04-18T14:28:23.823522600+03:00 polygons 1392 objects 116
80, 18-04-2020 14:28:24,44,49,66.965,135,405,65,14.453,3289.812,3282,77.6,0,,,2020-04-18T14:28:24.823297800+03:00 polygons 1404 objects 117
80, 18-04-2020 14:28:25,44,51,66.965,135,405,65,14.258,3289.812,3282,77.2,0,,,2020-04-18T14:28:25.838672900+03:00 polygons 1416 objects 118
80, 18-04-2020 14:28:26,44,49,66.965,135,405,62,13.867,3190.176,3282,76.6,0,,,2020-04-18T14:28:26.838447300+03:00 polygons 1428 objects 119
