0, 18-04-2020 18:43:21, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:43:21, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:43:21, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,
80, 18-04-2020 18:45:44,46,36,80.816,888.31,800,64,18.945,3190.095,3437,283.4,0,,,46.27,,1692,141,,,,,,,,,,
80, 18-04-2020 18:45:45,47,36,80.816,888.31,800,66,18.75,3289.869,3439,280.1,0,,,46.27,,1704,142,,,,,,,,,,
80, 18-04-2020 18:45:46,47,36,80.816,888.31,800,65,18.164,3289.869,3440,279.6,0,,,46.34,,1716,143,,,,,,,,,,
80, 18-04-2020 18:45:47,47,35,80.816,888.31,800,63,19.727,3190.149,3437,278.9,0,,,46.34,,1728,144,,,,,,,,,,
80, 18-04-2020 18:45:48,47,36,80.816,888.31,800,65,19.141,3190.149,3438,274.9,0,,,46.34,,1740,145,,,,,,,,,,
80, 18-04-2020 18:45:49,47,32,80.816,888.31,800,59,18.359,3289.839,3440,271.8,0,,,46.41,,1752,146,,,,,,,,,,
80, 18-04-2020 18:45:50,47,32,80.816,888.31,800,65,18.555,3190.146,3440,270.7,0,,,46.41,,1764,147,,,,,,,,,,
80, 18-04-2020 18:45:51,47,35,80.816,888.31,800,62,17.969,3289.842,3441,274.8,0,,,46.47,,1776,148,,,,,,,,,,
80, 18-04-2020 18:45:52,47,34,80.816,888.31,800,62,18.555,3190.15,3439,271.5,0,,,46.47,,1788,149,,,,,,,,,,
80, 18-04-2020 18:45:53,47,34,80.816,888.31,800,65,19.336,3190.149,3440,269.1,0,,,46.47,,1800,150,,,,,,,,,,
80, 18-04-2020 18:45:54,47,34,80.816,888.31,800,67,17.578,3190.149,3441,270.2,0,,,46.47,,1812,151,,,,,,,,,,
80, 18-04-2020 18:45:55,47,34,80.816,888.31,800,65,20.703,3190.143,3444,263.2,0,,,46.47,,1824,152,,,,,,,,,,
80, 18-04-2020 18:45:56,47,33,80.816,888.31,800,61,20.703,3190.143,3309,259.5,0,,,46.51,,1836,153,,,,,,,,,,
80, 18-04-2020 18:45:57,47,34,80.816,888.31,800,65,18.75,3289.846,3309,267.3,0,,,46.57,,1848,154,,,,,,,,,,
80, 18-04-2020 18:45:58,47,34,80.816,888.31,800,64,17.969,3190.154,3309,267,0,,,46.57,,1860,155,,,,,,,,,,
80, 18-04-2020 18:45:59,47,31,80.816,888.31,800,65,17.773,3190.148,3309,252.7,0,,,46.57,,1872,156,,,,,,,,,,
80, 18-04-2020 18:46:00,47,34,80.816,888.31,800,61,20.313,3289.84,3310,256.9,0,,,46.57,,1884,157,,,,,,,,,,
80, 18-04-2020 18:46:01,47,34,80.816,888.31,800,65,17.188,3289.842,3309,263.7,0,,,46.61,,1896,158,,,,,,,,,,
80, 18-04-2020 18:46:02,47,33,80.816,888.31,800,64,18.164,3289.842,3308,260.9,0,,,46.68,,1908,159,,,,,,,,,,
80, 18-04-2020 18:46:03,47,34,80.816,888.31,800,64,18.359,3190.148,3308,252.4,0,,,46.68,,1920,160,,,,,,,,,,
80, 18-04-2020 18:46:04,47,33,80.816,888.31,800,65,18.359,3190.148,3308,256.5,0,,,46.68,,1932,161,,,,,,,,,,
80, 18-04-2020 18:46:05,47,34,80.816,888.31,800,63,17.383,3190.149,3309,258.3,0,,,46.68,,1944,162,,,,,,,,,,
