00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:43:39, 14.000              ,474.586             ,30.859              ,4191.159            ,3891.000            ,520.200             ,0.000               
80, 02-05-2020 19:43:40, 13.000              ,475.086             ,48.828              ,4191.159            ,3894.000            ,491.300             ,0.000               
80, 02-05-2020 19:43:41, 13.000              ,475.086             ,56.641              ,4191.158            ,3894.000            ,477.500             ,0.000               
80, 02-05-2020 19:43:42, 13.000              ,475.086             ,57.031              ,4191.159            ,3885.000            ,476.800             ,0.000               
80, 02-05-2020 19:43:43, 13.000              ,475.086             ,58.984              ,4191.159            ,3885.000            ,473.100             ,0.000               
80, 02-05-2020 19:43:44, 13.000              ,475.086             ,55.469              ,4191.153            ,3893.000            ,472.600             ,0.000               
80, 02-05-2020 19:43:45, 12.000              ,475.086             ,57.031              ,4191.153            ,3893.000            ,468.900             ,0.000               
80, 02-05-2020 19:43:46, 13.000              ,475.086             ,56.641              ,4191.164            ,3886.000            ,465.200             ,0.000               
80, 02-05-2020 19:43:47, 12.000              ,475.086             ,56.641              ,4191.164            ,3896.000            ,460.500             ,0.000               
80, 02-05-2020 19:43:48, 12.000              ,475.086             ,57.031              ,4191.159            ,3897.000            ,460.100             ,0.000               
80, 02-05-2020 19:43:49, 13.000              ,475.086             ,56.641              ,4191.159            ,3889.000            ,460.400             ,0.000               
80, 02-05-2020 19:43:50, 13.000              ,475.086             ,39.844              ,4191.157            ,3888.000            ,481.100             ,0.000               
80, 02-05-2020 19:43:51, 13.000              ,475.086             ,31.250              ,4191.157            ,3887.000            ,484.800             ,0.000               
80, 02-05-2020 19:43:52, 14.000              ,475.086             ,31.641              ,4191.159            ,3892.000            ,486.100             ,0.000               
80, 02-05-2020 19:43:53, 13.000              ,475.086             ,31.641              ,4191.158            ,3888.000            ,481.600             ,0.000               
80, 02-05-2020 19:43:54, 13.000              ,475.086             ,29.297              ,4191.158            ,3888.000            ,477.700             ,0.000               
80, 02-05-2020 19:43:55, 13.000              ,475.086             ,30.469              ,4191.158            ,3894.000            ,476.900             ,0.000               
80, 02-05-2020 19:43:56, 13.000              ,475.086             ,30.078              ,4191.158            ,3898.000            ,474.400             ,0.000               
80, 02-05-2020 19:43:57, 13.000              ,475.086             ,29.297              ,4191.159            ,3889.000            ,471.800             ,0.000               
80, 02-05-2020 19:43:58, 13.000              ,475.086             ,29.688              ,4191.159            ,3889.000            ,469.000             ,0.000               
80, 02-05-2020 19:43:59, 13.000              ,475.086             ,31.250              ,4191.158            ,3889.000            ,472.300             ,0.000               
80, 02-05-2020 19:44:00, 13.000              ,475.086             ,30.469              ,4191.156            ,3901.000            ,463.900             ,0.000               
80, 02-05-2020 19:44:01, 13.000              ,475.086             ,31.250              ,4191.156            ,3890.000            ,461.500             ,0.000               
80, 02-05-2020 19:44:02, 13.000              ,475.086             ,30.078              ,4191.159            ,3890.000            ,456.500             ,0.000               
80, 02-05-2020 19:44:03, 13.000              ,475.086             ,30.469              ,4191.158            ,3897.000            ,457.500             ,0.000               
80, 02-05-2020 19:44:04, 13.000              ,475.086             ,30.469              ,4191.159            ,3899.000            ,455.600             ,0.000               
80, 02-05-2020 19:44:05, 13.000              ,475.086             ,54.297              ,4191.158            ,3891.000            ,422.700             ,0.000               
80, 02-05-2020 19:44:06, 12.000              ,475.086             ,55.078              ,4191.158            ,3891.000            ,418.500             ,0.000               
80, 02-05-2020 19:44:07, 12.000              ,475.086             ,58.203              ,4191.158            ,3891.000            ,417.600             ,0.000               
80, 02-05-2020 19:44:08, 12.000              ,475.086             ,57.031              ,4191.158            ,3902.000            ,415.700             ,0.000               
80, 02-05-2020 19:44:09, 12.000              ,475.086             ,58.594              ,4191.159            ,3894.000            ,413.800             ,0.000               
80, 02-05-2020 19:44:10, 12.000              ,475.086             ,57.813              ,4191.159            ,3901.000            ,414.100             ,0.000               
