0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:22,34,18.75,340.1,64.33,,42,18.555,358.2,43.35,,32,22.07,317.7,47.32,,57,14.844,92.2,35.38,,1104,92,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:23,33,20.703,339.3,64.98,,41,18.555,356,43.35,,32,21.289,315.9,47.33,,57,16.211,92.3,35.38,,1116,93,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:24,31,18.359,338.4,64.98,,42,18.945,353,43.35,,32,19.336,312.5,47.3,,56,17.383,90.7,35.38,,1128,94,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:25,32,19.141,340.1,65.62,,41,19.336,350.3,43.41,,31,17.578,310.9,47.32,,55,16.406,90.1,35.38,,1140,95,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:26,33,20.313,328.9,66.27,,40,17.773,351.9,43.41,,31,20.508,306.3,47.32,,53,15.82,90.1,35.38,,1152,96,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:27,32,18.555,325.9,66.27,,40,20.703,347.1,43.41,,31,20.117,307.1,47.3,,56,16.211,88.8,35.38,,1164,97,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:28,33,18.945,324.8,66.41,,41,18.75,343.1,43.45,,31,18.555,307.7,46.3,,56,15.82,88.4,35.38,,1176,98,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:29,32,17.578,321.1,67.07,,38,17.773,344.1,43.45,,28,18.75,292.8,46.3,,55,15.625,87.4,35.38,,1188,99,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:30,31,18.555,322.7,67.71,,38,18.164,341.1,45.45,,29,19.531,278.8,46.77,,55,16.211,87.2,35.38,,1200,100,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:31,31,18.75,325.1,67.71,,41,18.164,344.7,45.45,,29,20.703,286.4,46.79,,56,15.234,85.9,35.38,,1212,101,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:32,32,17.188,320.4,68.36,,40,20.898,336.2,45.52,,27,16.992,280.9,46.8,,56,17.188,85,35.38,,1224,102,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:33,30,19.727,315.3,69.13,,40,18.555,333.4,45.55,,29,20.117,271.3,46.8,,55,15.625,84.5,35.38,,1236,103,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:34,32,18.75,317.2,69.78,,40,17.969,341.4,45.55,,27,19.727,273.9,47.17,,54,15.234,83.9,35.38,,1248,104,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:35,29,18.223,312.5,69.78,,40,20.703,334.3,45.55,,27,19.531,273.7,47.23,,54,16.406,82.8,35.38,,1260,105,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:36,30,20.313,317.2,70.55,,40,19.531,331.4,45.55,,30,18.555,275.8,47.11,,54,14.844,82,35.38,,1272,106,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:37,29,19.141,302.7,71.2,,40,17.578,335.5,45.62,,29,18.164,273.9,47.11,,54,13.672,82.4,35.38,,1284,107,,,,,,,,,,,,,,,,,,,,,,
